LLT	PT
Iatrogenic diarrhea	Diarrhoea
Iatrogenic diarrhoea	Diarrhoea
Iatrogenic hypotension	Hypotension
Iatrogenic infection	Iatrogenic infection
Iatrogenic injury	Iatrogenic injury
Iatrogenic injury NOS	Iatrogenic injury
Iatrogenic metastasis	Iatrogenic metastasis
Iatrogenic pneumothorax	Procedural pneumothorax
Iatrogenic thyroiditis	Thyroiditis
Iatrogenic tumor implantation	Iatrogenic metastasis
Iatrogenic tumour implantation	Iatrogenic metastasis
Ice cream headache	Cold-stimulus headache
Ice pick headache	Headache
Ice water test of brain stem function	Neuro-ophthalmological test
Ice water test of brain stem function abnormal	Neuro-ophthalmological test abnormal
Ice water test of brain stem function normal	Neuro-ophthalmological test normal
Ichthyosis	Ichthyosis
Ichthyosis acquired	Ichthyosis acquired
Ichthyosis aggravated	Ichthyosis
Ichthyosis congenita	Ichthyosis
Ichthyosis congenital	Ichthyosis
Ichthyosis inherited	Ichthyosis
Ichthyosis senile	Ichthyosis acquired
Ichthyosis vulgaris	Ichthyosis
Icteric conjunctivae	Ocular icterus
Icteric sclera	Ocular icterus
Icterus	Jaundice
Icterus gravis neonatorum	Erythroblastosis foetalis
Icterus index	Icterus index
Icterus index decreased	Icterus index decreased
Icterus index increased	Icterus index increased
Icterus neonatorum	Jaundice neonatal
Ideas of reference	Ideas of reference
Ideational apraxia	Apraxia
Identity disorder of childhood or adolescence	Personality disorder of childhood
Ideomotor apraxia	Apraxia
Idiocy	Intellectual disability
Idioglossia	Idioglossia
Idiopathic (IPAH)	Pulmonary arterial hypertension
Idiopathic CD4 lymphocytopenia	Idiopathic CD4 lymphocytopenia
Idiopathic acute peripheral facial nerve palsy	Bell's palsy
Idiopathic angioedema	Idiopathic angioedema
Idiopathic capillaritis	Capillaritis
Idiopathic cardiomegaly	Endocardial fibroelastosis
Idiopathic chronic junctional ectopic tachycardia	Junctional ectopic tachycardia
Idiopathic colitis	Colitis
Idiopathic condylar resorption	Idiopathic condylar resorption
Idiopathic corneal edema	Corneal oedema
Idiopathic corneal oedema	Corneal oedema
Idiopathic diarrhea	Diarrhoea
Idiopathic diarrhoea	Diarrhoea
Idiopathic dizziness	Dizziness
Idiopathic edema	Oedema
Idiopathic erosion of teeth	Tooth erosion
Idiopathic fibrosing alveolitis	Idiopathic pulmonary fibrosis
Idiopathic fluid retention	Fluid retention
Idiopathic gastroparesis	Impaired gastric emptying
Idiopathic generalised epilepsy	Idiopathic generalised epilepsy
Idiopathic generalized epilepsy	Idiopathic generalised epilepsy
Idiopathic granulomatous mastitis	Plasma cell mastitis
Idiopathic guttate hypomelanosis	Idiopathic guttate hypomelanosis
Idiopathic haemorrhagic sarcoma	Kaposi's sarcoma
Idiopathic hemorrhagic sarcoma	Kaposi's sarcoma
Idiopathic hirsutism	Hirsutism
Idiopathic hypercalciuria	Hypercalciuria
Idiopathic hypersomnia	Hypersomnia
Idiopathic hypertrophic subaortic stenosis	Hypertrophic cardiomyopathy
Idiopathic interstitial pneumonia	Idiopathic interstitial pneumonia
Idiopathic intracranial hypertension	Idiopathic intracranial hypertension
Idiopathic intussusception	Intussusception
Idiopathic lenticular mucocutaneous pigmentation	Idiopathic lenticular mucocutaneous pigmentation
Idiopathic mesenteric phlebosclerosis	Mesenteric phlebosclerosis
Idiopathic midline granuloma	Angiocentric lymphoma
Idiopathic myocarditis	Myocarditis
Idiopathic narcolepsy	Narcolepsy
Idiopathic neutropenia	Idiopathic neutropenia
Idiopathic oedema	Oedema
Idiopathic orbital inflammation	Idiopathic orbital inflammation
Idiopathic osteoporosis	Osteoporosis
Idiopathic partial epilepsy	Idiopathic partial epilepsy
Idiopathic peripheral autonomic neuropathy	Autonomic neuropathy
Idiopathic plasmacytic lymphadenopathy	Castleman's disease
Idiopathic pneumonia syndrome	Idiopathic pneumonia syndrome
Idiopathic pneumothorax	Pneumothorax spontaneous
Idiopathic portal hypertension	Non-cirrhotic portal hypertension
Idiopathic proctocolitis	Colitis
Idiopathic progressive polyneuropathy	Polyneuropathy idiopathic progressive
Idiopathic pulmonary arterial hypertension	Pulmonary arterial hypertension
Idiopathic pulmonary fibrosis	Idiopathic pulmonary fibrosis
Idiopathic pulmonary haemosiderosis	Pulmonary haemosiderosis
Idiopathic pulmonary hemosiderosis	Pulmonary haemosiderosis
Idiopathic purpura	Purpura
Idiopathic retinal vasculitis, aneurysms and neuroretinitis syndrome	IRVAN syndrome
Idiopathic retroperitoneal fibrosis	Retroperitoneal fibrosis
Idiopathic short stature	Short stature
Idiopathic thrombocytopenia	Immune thrombocytopenia
Idiopathic thrombocytopenic purpura	Immune thrombocytopenia
Idiopathic thrombocytosis	Essential thrombocythaemia
Idiopathic torsion dystonia	Early onset primary dystonia
Idiopathic urticaria	Idiopathic urticaria
Idiosyncratic alcohol intoxication	Idiosyncratic alcohol intoxication
Idiosyncratic drug reaction	Idiosyncratic drug reaction
Idiot	Intellectual disability
Ig E increased	Blood immunoglobulin E increased
IgA	Blood immunoglobulin A
IgA decreased	Blood immunoglobulin A decreased
IgA deficiency	Selective IgA immunodeficiency
IgA gammopathy	Monoclonal gammopathy
IgA increased	Blood immunoglobulin A increased
IgA kappa increased	Light chain analysis increased
IgA nephropathy	IgA nephropathy
IgA vasculitis	Henoch-Schonlein purpura
IgD	Blood immunoglobulin D
IgD decreased	Blood immunoglobulin D decreased
IgD increased	Blood immunoglobulin D increased
IgE	Blood immunoglobulin E
IgE decreased	Blood immunoglobulin E decreased
IgE increased	Blood immunoglobulin E increased
IgE normal	Blood immunoglobulin E normal
IgG	Blood immunoglobulin G
IgG antibody present with inhibitory activity	Inhibiting antibodies positive
IgG decreased	Blood immunoglobulin G decreased
IgG gammopathy	Monoclonal gammopathy
IgG increased	Blood immunoglobulin G increased
IgG kappa increased	Light chain analysis increased
IgG normal	Blood immunoglobulin G normal
IgG subclass deficiency	Selective IgG subclass deficiency
IgG4 related sclerosing disease	Immunoglobulin G4 related disease
IgM	Blood immunoglobulin M
IgM decreased	Blood immunoglobulin M decreased
IgM gammopathy	Monoclonal gammopathy
IgM increased	Blood immunoglobulin M increased
IgM nephropathy	IgM nephropathy
Ileal atresia	Ileal atresia
Ileal conduit	Urostomy
Ileal fistula	Fistula of small intestine
Ileal gangrene	Ileal gangrene
Ileal haemorrhage	Small intestinal haemorrhage
Ileal hemorrhage	Small intestinal haemorrhage
Ileal infection	Enteritis infectious
Ileal loop bladder	Urostomy
Ileal motility increased	Gastrointestinal hypermotility
Ileal necrosis	Gastrointestinal necrosis
Ileal obstruction	Small intestinal obstruction
Ileal operation	Ileal operation
Ileal operation NOS	Ileal operation
Ileal perforation	Ileal perforation
Ileal resection	Ileectomy
Ileal stenosis	Ileal stenosis
Ileal stricture	Ileal stenosis
Ileal ulcer	Ileal ulcer
Ileal ulcer perforation	Ileal ulcer perforation
Ileal urostomy	Urostomy
Ileectomy	Ileectomy
Ileitis	Enteritis
Ileitis aggravated	Enteritis
Ileitis regional	Crohn's disease
Ileitis terminal	Terminal ileitis
Ileo-anal pouch	Intestinal anastomosis
Ileoanal anastomosis	Intestinal anastomosis
Ileoanal anastomosis with ileostomy	Pelvic pouch procedure
Ileocaecal anastomosis	Intestinal anastomosis
Ileocaecal resection	Ileocaecal resection
Ileocaecal ulcer	Ileal ulcer
Ileocaecal valve carcinoma	Colon cancer
Ileocecal anastomosis	Intestinal anastomosis
Ileocecal resection	Ileocaecal resection
Ileocecal ulcer	Ileal ulcer
Ileocecal valve carcinoma	Colon cancer
Ileocolectomy	Ileocolectomy
Ileocolic bypass	Ileocolic bypass
Ileocolic intussusception	Intussusception
Ileocolitis	Enterocolitis
Ileocolonic anastomosis	Intestinal anastomosis
Ileocolostomy	Ileocolostomy
Ileojejunal bypass	Ileojejunal bypass
Ileoproctostomy	Intestinal anastomosis
Ileorectal anastomosis	Intestinal anastomosis
Ileorectal fistula	Fistula of small intestine
Ileorectal fistula closure	Intestinal fistula repair
Ileoscopy	Endoscopy small intestine
Ileoscopy abnormal	Endoscopy small intestine abnormal
Ileoscopy normal	Endoscopy small intestine normal
Ileosigmoidostomy	Ileocolostomy
Ileostomy	Ileostomy
Ileostomy (permanent)	Ileostomy
Ileostomy (temporary)	Ileostomy
Ileostomy NOS	Ileostomy
Ileostomy closure	Ileostomy closure
Ileostomy malfunction	Gastrointestinal stoma complication
Ileostomy overactive	Gastrointestinal stoma complication
Ileostomy revision	Ileostomy
Ileostomy underactive	Gastrointestinal stoma complication
Ileotransverse anastomosis	Intestinal anastomosis
Ileovaginal fistula	Female genital tract fistula
Ileovaginal fistula closure	Intestinal fistula repair
Ileovesical fistula	Enterovesical fistula
Ileus	Ileus
Ileus adhesive	Mechanical ileus
Ileus meconium	Meconium ileus
Ileus of bowel	Ileus
Ileus of colon	Ileus
Ileus of intestine	Ileus
Ileus paralytic	Ileus paralytic
Ileus paralytic neonatal	Meconium ileus
Ileus spastic	Ileus spastic
Iliac artery aneurysm	Peripheral artery aneurysm
Iliac artery aneurysm enlargement	Peripheral artery aneurysm
Iliac artery blockage	Iliac artery occlusion
Iliac artery disease	Iliac artery disease
Iliac artery dissection	Iliac artery dissection
Iliac artery embolism	Iliac artery embolism
Iliac artery embolus	Iliac artery embolism
Iliac artery occlusion	Iliac artery occlusion
Iliac artery perforation	Iliac artery perforation
Iliac artery pseudoaneurysm	Vascular pseudoaneurysm
Iliac artery restenosis	Iliac artery restenosis
Iliac artery rupture	Iliac artery rupture
Iliac artery stenosis	Iliac artery stenosis
Iliac artery thrombosis	Peripheral artery thrombosis
Iliac bruit	Iliac bruit
Iliac fossa pain	Abdominal pain lower
Iliac vein compression syndrome	May-Thurner syndrome
Iliac vein obstruction	Iliac vein occlusion
Iliac vein occlusion	Iliac vein occlusion
Iliac vein perforation	Iliac vein perforation
Iliac vein stenosis	Iliac vein stenosis
Iliac vein thrombosis	Pelvic venous thrombosis
Iliocostal friction syndrome	Iliocostal friction syndrome
Iliofemoral (ligament) sprain	Ligament sprain
Iliofemoral artery occlusion	Peripheral artery occlusion
Iliofemoral artery thrombosis	Peripheral artery thrombosis
Iliofemoral bypass	Peripheral artery bypass
Iliofemoral deep vein thrombosis	Pelvic venous thrombosis
Iliolumbar syndrome	Iliolumbar syndrome
Iliopsoas syndrome	Tendonitis
Iliotibial band friction syndrome	Iliotibial band syndrome
Iliotibial band syndrome	Iliotibial band syndrome
Ilium fracture	Ilium fracture
Ill feeling	Malaise
Ill relative	Sick relative
Ill-defined disorder	Ill-defined disorder
Ill-defined disorder NOS	Ill-defined disorder
Ill-defined intestinal infections	Enteritis infectious
Illegally induced abortion	Abortion induced
Illegitimate child	Child born to unmarried parents
Illicit drug intoxication	Toxicity to various agents
Illiteracy	Illiteracy
Illness	Illness
Illness anxiety disorder	Illness anxiety disorder
Illogical thinking	Illogical thinking
Illusion	Illusion
Imaging procedure	Imaging procedure
Imaging procedure abnormal	Imaging procedure abnormal
Imaging procedure artifact	Imaging procedure artifact
Imbalance blood electrolyte	Electrolyte imbalance
Imbalance hormonal	Hormone level abnormal
Imbecile	Intellectual disability
Imbecility	Intellectual disability
Imerslund-Graesbeck syndrome	Autosomal recessive megaloblastic anaemia
Immature baby	Premature baby
Immature granulocyte count	Immature granulocyte count
Immature granulocyte count increased	Immature granulocyte count increased
Immature granulocyte percentage increased	Immature granulocyte percentage increased
Immature larynx	Immature larynx
Immature personality	Personality disorder
Immature respiratory system	Immature respiratory system
Immature retinal vascularisation	Retinopathy of prematurity
Immature retinal vascularization	Retinopathy of prematurity
Immediate hypersensitivity	Type I hypersensitivity
Immediate hypersensitivity reaction	Type I hypersensitivity
Immediate post-injection reaction	Immediate post-injection reaction
Immediate postoperative analgesia	Postoperative analgesia
Immersion foot	Trench foot
Immigrant syndrome with extreme migratory mourning	Ulysses syndrome
Imminent abortion	Imminent abortion
Immobile	Immobile
Immobilisation bandage	Immobilisation bandage
Immobilisation prolonged	Immobilisation prolonged
Immobilisation syndrome	Immobilisation syndrome
Immobilization bandage	Immobilisation bandage
Immobilization prolonged	Immobilisation prolonged
Immobilization syndrome	Immobilisation syndrome
Immotile cilia syndrome	Primary ciliary dyskinesia
Immune agglutinins	Immune agglutinins
Immune agglutinins NOS	Immune agglutinins
Immune complex assay	Immune complex assay
Immune complex deposition	Type III immune complex mediated reaction
Immune complex formation	Type III immune complex mediated reaction
Immune complex glomerulonephritis	Glomerulonephritis
Immune complex level increased	Immune complex level increased
Immune complex reaction	Type III immune complex mediated reaction
Immune disorder (NOS)	Immune system disorder
Immune disorder prophylaxis	Immune disorder prophylaxis
Immune effector cell-associated neurotoxicity syndrome	Immune effector cell-associated neurotoxicity syndrome
Immune enhancement therapy	Immune enhancement therapy
Immune haemolytic anaemia	Autoimmune haemolytic anaemia
Immune haemolytic anaemia drug-induced	Haemolytic anaemia
Immune hemolytic anemia	Autoimmune haemolytic anaemia
Immune hemolytic anemia drug-induced	Haemolytic anaemia
Immune imbalance	Immune system disorder
Immune interferon therapy	Gamma interferon therapy
Immune reconstitution inflammatory syndrome	Immune reconstitution inflammatory syndrome
Immune reconstitution inflammatory syndrome associated Kaposi's sarcoma	Immune reconstitution inflammatory syndrome associated Kaposi's sarcoma
Immune reconstitution inflammatory syndrome associated tuberculosis	Immune reconstitution inflammatory syndrome associated tuberculosis
Immune reconstitution syndrome	Immune reconstitution inflammatory syndrome
Immune recovery uveitis	Immune recovery uveitis
Immune recovery vitritis	Immune recovery uveitis
Immune restoration disease	Immune reconstitution inflammatory syndrome
Immune status	Immunology test
Immune status normal	Immunology test normal
Immune system disorder	Immune system disorder
Immune system disorder (NOS)	Immune system disorder
Immune system disorder NOS	Immune system disorder
Immune thrombocytopenia	Immune thrombocytopenia
Immune thrombocytopenic purpura	Immune thrombocytopenia
Immune tolerance induction	Immune tolerance induction
Immune-mediated adrenal insuficiency	Immune-mediated adrenal insuficiency
Immune-mediated adverse reaction	Immune-mediated adverse reaction
Immune-mediated arthritis	Immune-mediated arthritis
Immune-mediated bicytopenia	Immune-mediated cytopenia
Immune-mediated bronchitis	Immune-mediated lung disease
Immune-mediated cholangitis	Immune-mediated cholangitis
Immune-mediated cholestasis	Immune-mediated cholestasis
Immune-mediated colitis	Immune-mediated enterocolitis
Immune-mediated cystitis	Immune-mediated cystitis
Immune-mediated cytopenia	Immune-mediated cytopenia
Immune-mediated dermatitis	Immune-mediated dermatitis
Immune-mediated diabetes	Type 1 diabetes mellitus
Immune-mediated encephalitis	Immune-mediated encephalitis
Immune-mediated encephalopathy	Immune-mediated encephalopathy
Immune-mediated endocrinopathy	Immune-mediated endocrinopathy
Immune-mediated enteritis	Immune-mediated enterocolitis
Immune-mediated enterocolitis	Immune-mediated enterocolitis
Immune-mediated esophagitis	Immune-mediated oesophagitis
Immune-mediated gastritis	Immune-mediated gastritis
Immune-mediated gastroenteritis	Immune-mediated enterocolitis
Immune-mediated hepatic disorder	Immune-mediated hepatic disorder
Immune-mediated hepatitis	Immune-mediated hepatitis
Immune-mediated hyperthyroidism	Immune-mediated hyperthyroidism
Immune-mediated hypophysitis	Immune-mediated hypophysitis
Immune-mediated hypothyroidism	Immune-mediated hypothyroidism
Immune-mediated liver injury	Immune-mediated hepatic disorder
Immune-mediated lung disease	Immune-mediated lung disease
Immune-mediated meningoencephalitis	Immune-mediated encephalitis
Immune-mediated myocarditis	Immune-mediated myocarditis
Immune-mediated myositis	Immune-mediated myositis
Immune-mediated necrotising myopathy	Immune-mediated myositis
Immune-mediated necrotizing myopathy	Immune-mediated myositis
Immune-mediated nephritis	Immune-mediated nephritis
Immune-mediated neurological disorder	Immune-mediated neurological disorder
Immune-mediated neuropathy	Immune-mediated neuropathy
Immune-mediated oesophagitis	Immune-mediated oesophagitis
Immune-mediated pancreatitis	Immune-mediated pancreatitis
Immune-mediated pancytopenia	Immune-mediated cytopenia
Immune-mediated pneumonitis	Immune-mediated lung disease
Immune-mediated rash	Immune-mediated dermatitis
Immune-mediated renal disorder	Immune-mediated renal disorder
Immune-mediated thrombocytopenia	Immune thrombocytopenia
Immune-mediated thrombocytopenic purpura	Immune thrombocytopenia
Immune-mediated thyroiditis	Immune-mediated thyroiditis
Immune-mediated uveitis	Immune-mediated uveitis
Immunisation	Immunisation
Immunisation anxiety related reaction	Immunisation anxiety related reaction
Immunisation reaction	Immunisation reaction
Immunization	Immunisation
Immunization anxiety related reaction	Immunisation anxiety related reaction
Immunization reaction	Immunisation reaction
Immunoadsorption therapy	Immunoadsorption therapy
Immunoblastic lymphoma	Immunoblastic lymphoma
Immunoblastic sarcoma	Immunoblastic lymphoma
Immunochemotherapy	Immunochemotherapy
Immunocomplex mediated hypersensitivity	Type III immune complex mediated reaction
Immunocompromised	Immunodeficiency
Immunocytoma (Extranodal marginal zone low grade B-cell lymphoma of MALT type)	Nodal marginal zone B-cell lymphoma
Immunocytoma (Extranodal marginal zone low grade B-cell lymphoma of MALT type) recurrent	Nodal marginal zone B-cell lymphoma recurrent
Immunocytoma (Extranodal marginal zone low grade B-cell lymphoma of MALT type) refractory	Nodal marginal zone B-cell lymphoma refractory
Immunocytoma (Extranodal marginal zone low grade B-cell lymphoma of MALT type) stage I	Nodal marginal zone B-cell lymphoma stage I
Immunocytoma (Extranodal marginal zone low grade B-cell lymphoma of MALT type) stage II	Nodal marginal zone B-cell lymphoma stage II
Immunocytoma (Extranodal marginal zone low grade B-cell lymphoma of MALT type) stage III	Nodal marginal zone B-cell lymphoma stage III
Immunocytoma (Extranodal marginal zone low grade B-cell lymphoma of MALT type) stage IV	Nodal marginal zone B-cell lymphoma stage IV
Immunocytoma (Lymphoplasmacytoid lymphoma/immunocytoma) (Kiel Classification)	Lymphoplasmacytoid lymphoma/immunocytoma
Immunocytoma (Lymphoplasmacytoid lymphoma/immunocytoma) (Kiel Classification) recurrent	Lymphoplasmacytoid lymphoma/immunocytoma recurrent
Immunocytoma (Lymphoplasmacytoid lymphoma/immunocytoma) (Kiel Classification) refractory	Lymphoplasmacytoid lymphoma/immunocytoma refractory
Immunocytoma (Lymphoplasmacytoid lymphoma/immunocytoma) (Kiel Classification) stage I	Lymphoplasmacytoid lymphoma/immunocytoma stage I
Immunocytoma (Lymphoplasmacytoid lymphoma/immunocytoma) (Kiel Classification) stage II	Lymphoplasmacytoid lymphoma/immunocytoma stage II
Immunocytoma (Lymphoplasmacytoid lymphoma/immunocytoma) (Kiel Classification) stage III	Lymphoplasmacytoid lymphoma/immunocytoma stage III
Immunocytoma (Lymphoplasmacytoid lymphoma/immunocytoma) (Kiel Classification) stage IV	Lymphoplasmacytoid lymphoma/immunocytoma stage IV
Immunodeficiency	Immunodeficiency
Immunodeficiency NOS	Immunodeficiency
Immunodeficiency common variable	Immunodeficiency common variable
Immunodeficiency congenital	Immunodeficiency congenital
Immunodeficiency secondary to chemotherapy	Secondary immunodeficiency
Immunodeficiency secondary to corticosteroids	Secondary immunodeficiency
Immunodeficiency secondary to measles	Secondary immunodeficiency
Immunodeficiency secondary to neoplasm	Secondary immunodeficiency
Immunodeficiency secondary to neoplasm NOS	Secondary immunodeficiency
Immunodeficiency secondary to oncology chemotherapy	Secondary immunodeficiency
Immunodeficiency secondary to organ transplantation	Secondary immunodeficiency
Immunodeficiency secondary to radiation therapy	Secondary immunodeficiency
Immunodeficiency secondary to transplantation chemotherapy	Secondary immunodeficiency
Immunodeficiency secondary to trauma	Secondary immunodeficiency
Immunodeficiency with increased immunoglobulin M	Hyper IgM syndrome
Immunodysregulation polyendocrinopathy enteropathy X-linked syndrome	IPEX syndrome
Immunoelectrophoresis	Immunoelectrophoresis
Immunofixation	Immunology test
Immunofluorescence	Immunology test
Immunogammaglobulin	Immunoglobulins
Immunogammaglobulin abnormal	Immunoglobulins abnormal
Immunogammaglobulin abnormality NOS	Immunoglobulins abnormal
Immunogammaglobulin normal	Immunoglobulins normal
Immunoglobulin A	Blood immunoglobulin A
Immunoglobulin A decreased	Blood immunoglobulin A decreased
Immunoglobulin A high	Blood immunoglobulin A increased
Immunoglobulin A increased	Blood immunoglobulin A increased
Immunoglobulin A low	Blood immunoglobulin A decreased
Immunoglobulin A normal	Blood immunoglobulin A normal
Immunoglobulin A-associated vasculitis	Henoch-Schonlein purpura
Immunoglobulin E	Blood immunoglobulin E
Immunoglobulin E decreased	Blood immunoglobulin E decreased
Immunoglobulin E high	Blood immunoglobulin E increased
Immunoglobulin E increased	Blood immunoglobulin E increased
Immunoglobulin E low	Blood immunoglobulin E decreased
Immunoglobulin E normal	Blood immunoglobulin E normal
Immunoglobulin G	Blood immunoglobulin G
Immunoglobulin G decreased	Blood immunoglobulin G decreased
Immunoglobulin G high	Blood immunoglobulin G increased
Immunoglobulin G increased	Blood immunoglobulin G increased
Immunoglobulin G low	Blood immunoglobulin G decreased
Immunoglobulin G normal	Blood immunoglobulin G normal
Immunoglobulin G4 related disease	Immunoglobulin G4 related disease
Immunoglobulin G4 related sclerosing disease	Immunoglobulin G4 related disease
Immunoglobulin M	Blood immunoglobulin M
Immunoglobulin M decreased	Blood immunoglobulin M decreased
Immunoglobulin M high	Blood immunoglobulin M increased
Immunoglobulin M increased	Blood immunoglobulin M increased
Immunoglobulin M low	Blood immunoglobulin M decreased
Immunoglobulin M normal	Blood immunoglobulin M normal
Immunoglobulin clonality assay	Immunoglobulin clonality assay
Immunoglobulin therapy	Immunoglobulin therapy
Immunoglobulins	Immunoglobulins
Immunoglobulins abnormal	Immunoglobulins abnormal
Immunoglobulins altered	Immunoglobulins abnormal
Immunoglobulins decreased	Immunoglobulins decreased
Immunoglobulins increased	Immunoglobulins increased
Immunoglobulins normal	Immunoglobulins normal
Immunohistochemistry	Immunohistochemistry
Immunology	Immunology test
Immunology NOS abnormal	Immunology test abnormal
Immunology test	Immunology test
Immunology test NOS abnormal	Immunology test abnormal
Immunology test abnormal	Immunology test abnormal
Immunology test normal	Immunology test normal
Immunomodulatory therapy	Immunomodulatory therapy
Immunophenotyping	Immunophenotyping
Immunoreactive insulin	Blood insulin
Immunoreactive trypsinogen abnormal	Immunoreactive trypsinogen abnormal
Immunoreactive trypsinogen assay	Immunoreactive trypsinogen assay
Immunoreactive trypsinogen decreased	Immunoreactive trypsinogen decreased
Immunoreactive trypsinogen increased	Immunoreactive trypsinogen increased
Immunosuppressant drug level	Immunosuppressant drug level
Immunosuppressant drug level NOS	Immunosuppressant drug level
Immunosuppressant drug level NOS decreased	Immunosuppressant drug level decreased
Immunosuppressant drug level NOS increased	Immunosuppressant drug level increased
Immunosuppressant drug level decreased	Immunosuppressant drug level decreased
Immunosuppressant drug level increased	Immunosuppressant drug level increased
Immunosuppressant drug therapy	Immunosuppressant drug therapy
Immunosuppressant intoxication	Toxicity to various agents
Immunosuppression	Immunosuppression
Immunosuppression NOS	Immunosuppression
Immunotactoid glomerulonephritis	Immunotactoid glomerulonephritis
Impacted cerumen	Cerumen impaction
Impacted faeces	Faecaloma
Impacted fracture	Impacted fracture
Impacted wax	Cerumen impaction
Impacted wisdom tooth	Tooth impacted
Impaction bone graft	Bone graft
Impaction faecal	Faecaloma
Impaction fecal	Faecaloma
Impaction of intestine	Intestinal obstruction
Impaction of intestine, unspecified	Intestinal obstruction
Impaired ability to use machinery	Impaired ability to use machinery
Impaired agility	Movement disorder
Impaired driving ability	Impaired driving ability
Impaired fasting glucose	Impaired fasting glucose
Impaired gastric emptying	Impaired gastric emptying
Impaired gonadal steroidogenesis	Hypogonadism
Impaired healing	Impaired healing
Impaired insulin secretion	Impaired insulin secretion
Impaired liver function	Hepatic function abnormal
Impaired mobility of malleus	Ossicle disorder
Impaired quality of life	Impaired quality of life
Impaired reasoning	Impaired reasoning
Impaired renal function	Renal impairment
Impaired self-care	Impaired self-care
Impaired taste	Taste disorder
Impaired work ability	Impaired work ability
Impairment of attention	Disturbance in attention
Impairment of auditory discrimination	Auditory disorder
Impatience	Impatience
Impedance decreased	Device electrical impedance issue
Impedance increased	Device electrical impedance issue
Impending doom	Anxiety
Impending fracture	Pathological fracture
Imperception	Imperception
Imperforate anus	Anal atresia
Imperforate esophagus	Imperforate oesophagus
Imperforate hymen	Imperforate hymen
Imperforate oesophagus	Imperforate oesophagus
Impetigo	Impetigo
Impetigo NOS	Impetigo
Impetigo bullosa	Bullous impetigo
Impetigo contagious	Impetigo
Impetigo herpetiformis	Impetigo herpetiformis
Impingement syndrome	Rotator cuff syndrome
Impingement syndrome shoulder	Rotator cuff syndrome
Implant brain brachytherapy	Brachytherapy to brain
Implant breakage	Device breakage
Implant ear, nose, or throat brachytherapy	Brachytherapy to ear, nose, or throat
Implant expulsion	Device expulsion
Implant failure	Device failure
Implant infection	Device related infection
Implant malposition	Device dislocation
Implant obstruction	Device occlusion
Implant pancreas brachytherapy	Brachytherapy to pancreas
Implant removal	Medical device removal
Implant site abscess	Implant site abscess
Implant site atrophy	Implant site atrophy
Implant site bleeding	Implant site haemorrhage
Implant site blisters	Implant site vesicles
Implant site bruising	Implant site bruising
Implant site burning	Implant site pain
Implant site calcification	Implant site calcification
Implant site cellulitis	Implant site cellulitis
Implant site coldness	Implant site coldness
Implant site cyst	Implant site cyst
Implant site dehiscence	Implant site dehiscence
Implant site dermatitis	Implant site dermatitis
Implant site desquamation	Implant site exfoliation
Implant site discharge	Implant site discharge
Implant site discoloration	Implant site discolouration
Implant site discolouration	Implant site discolouration
Implant site ecchymosis	Implant site haemorrhage
Implant site edema	Implant site oedema
Implant site effusion	Implant site extravasation
Implant site erosion	Implant site erosion
Implant site erythema	Implant site erythema
Implant site exfoliation	Implant site exfoliation
Implant site extravasation	Implant site extravasation
Implant site fibrosis	Implant site fibrosis
Implant site fluid collection	Implant site extravasation
Implant site haematoma	Implant site haematoma
Implant site haemorrhage	Implant site haemorrhage
Implant site hematoma	Implant site haematoma
Implant site hemorrhage	Implant site haemorrhage
Implant site hyperaesthesia	Implant site hyperaesthesia
Implant site hyperesthesia	Implant site hyperaesthesia
Implant site hyperpigmentation	Implant site discolouration
Implant site hypersensitivity	Implant site hypersensitivity
Implant site hypertrophy	Implant site hypertrophy
Implant site hypoaesthesia	Implant site hypoaesthesia
Implant site hypoesthesia	Implant site hypoaesthesia
Implant site hypopigmentation	Implant site discolouration
Implant site induration	Implant site induration
Implant site infection	Implant site infection
Implant site inflammation	Implant site inflammation
Implant site injury	Implant site injury
Implant site irritation	Implant site irritation
Implant site ischaemia	Implant site ischaemia
Implant site ischemia	Implant site ischaemia
Implant site itching	Implant site pruritus
Implant site leakage	Implant site extravasation
Implant site mass	Implant site mass
Implant site necrosis	Implant site necrosis
Implant site nerve injury	Implant site nerve injury
Implant site nodule	Implant site nodule
Implant site numbness	Implant site hypoaesthesia
Implant site oedema	Implant site oedema
Implant site pain	Implant site pain
Implant site pallor	Implant site pallor
Implant site papules	Implant site papules
Implant site paraesthesia	Implant site paraesthesia
Implant site paresthesia	Implant site paraesthesia
Implant site phlebitis	Implant site phlebitis
Implant site photosensitivity	Implant site photosensitivity
Implant site pocket infection	Implant site infection
Implant site pocket pain	Implant site pain
Implant site pruritus	Implant site pruritus
Implant site pustules	Implant site pustules
Implant site rash	Implant site rash
Implant site reaction	Implant site reaction
Implant site reaction NOS	Implant site reaction
Implant site scar	Implant site scar
Implant site sclerosis	Implant site induration
Implant site seroma	Implant site extravasation
Implant site stinging	Implant site pain
Implant site swelling	Implant site swelling
Implant site tenderness	Implant site pain
Implant site thrombosis	Implant site thrombosis
Implant site ulcer	Implant site ulcer
Implant site urticaria	Implant site urticaria
Implant site vesicles	Implant site vesicles
Implant site warmth	Implant site warmth
Implant subsidence	Implant subsidence
Implant tissue failure	Implant tissue necrosis
Implant tissue necrosis	Implant tissue necrosis
Implantable cardiac monitor insertion	Implantable cardiac monitor insertion
