LLT	PT
Abortion incomplete	Abortion incomplete
Abortion incomplete NOS	Abortion incomplete
Abortion incomplete complicated	Abortion incomplete complicated
Abortion induced	Abortion induced
Abortion induced NOS	Abortion induced
Abortion induced complete	Abortion induced complete
Abortion induced complete NOS	Abortion induced complete
Abortion induced complete complicated	Abortion induced complete complicated
Abortion induced complicated	Abortion induced complicated
Abortion induced for medical grounds	Abortion induced
Abortion induced illegally	Abortion induced
Abortion induced incomplete	Abortion induced incomplete
Abortion induced incomplete NOS	Abortion induced incomplete
Abortion induced incomplete complicated	Abortion induced incomplete complicated
Abortion infected	Abortion infected
Abortion infective	Abortion infected
Abortion late	Abortion late
Abortion missed	Abortion missed
Abortion of ectopic pregnancy	Abortion of ectopic pregnancy
Abortion spontaneous	Abortion spontaneous
Abortion spontaneous NOS	Abortion spontaneous
Abortion spontaneous complete	Abortion spontaneous complete
Abortion spontaneous complete NOS	Abortion spontaneous complete
Abortion spontaneous complete complicated	Abortion spontaneous complete complicated
Abortion spontaneous complicated	Abortion spontaneous complicated
Abortion spontaneous incomplete	Abortion spontaneous incomplete
Abortion spontaneous incomplete NOS	Abortion spontaneous incomplete
Abortion spontaneous incomplete complicated	Abortion spontaneous incomplete complicated
Abortion threatened	Abortion threatened
Above knee amputation	Leg amputation
Abrasion	Skin abrasion
Abrasion NOS	Skin abrasion
Abrasion gingival	Gingival injury
Abrasion of hard tooth tissue	Tooth injury
Abrasion of teeth	Tooth injury
Abrasions	Skin abrasion
Abrupt coronary artery closure	Cardiac procedure complication
Abruptio placentae	Premature separation of placenta
Abscess	Abscess
Abscess Bartholin's	Bartholin's abscess
Abscess NOS	Abscess
Abscess anorectal	Rectal abscess
Abscess apocrine gland	Abscess sweat gland
Abscess bacterial	Abscess bacterial
Abscess bacterial NOS	Abscess bacterial
Abscess breast	Breast abscess
Abscess breast drainage	Abscess drainage
Abscess cavity curettage	Abscess management
Abscess central nervous system NOS	Central nervous system abscess
Abscess dental	Tooth abscess
Abscess discharge	Abscess
Abscess drainage	Abscess drainage
Abscess eye	Eye abscess
Abscess fungal	Abscess fungal
Abscess genital organ (male)	Penile abscess
Abscess gum	Gingival abscess
Abscess hand	Abscess limb
Abscess in nose	Nasal abscess
Abscess injection site	Injection site abscess
Abscess intestinal	Abscess intestinal
Abscess jaw	Abscess jaw
Abscess kidney	Renal abscess
Abscess leg	Abscess limb
